,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Electrolyzer Skids,,,,,GLS Skid,,,,,,,,,,Utility,,,,,,,,,,,,,,
25,12:08 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,12:09 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,12:10 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,12:11 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,12:12 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,12:13 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,12:14 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,12:15 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,12:16 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,12:17 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,12:18 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,12:19 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,12:20 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,12:21 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,12:22 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,12:23 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,12:24 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,12:25 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,12:26 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,12:27 AM,0,0,0,24.25,24.25,24.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,12:28 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,12:29 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,12:30 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,12:31 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,12:32 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,12:33 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,12:34 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,12:35 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,12:36 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,12:37 AM,0,0,0,24.25,24.25,24.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,12:38 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,12:39 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,12:40 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,12:41 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,12:42 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,12:43 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,12:44 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,12:45 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,12:46 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,12:47 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,12:48 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,12:49 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,12:50 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,12:51 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,12:52 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,12:53 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,12:54 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,12:55 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,12:56 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,12:57 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,12:58 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,12:59 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,1:00 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,1:01 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,1:02 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,1:03 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,1:04 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,1:05 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,1:06 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,1:07 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,1:08 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,1:09 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,1:10 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,1:11 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,1:12 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,1:13 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,1:14 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,1:15 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,1:16 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,1:17 AM,0,0,0,24.25,24.25,24.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,1:18 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,1:19 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,1:20 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,1:21 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,1:22 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,1:23 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,1:24 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,1:25 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,1:26 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,1:27 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,1:28 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,1:29 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,1:30 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,1:31 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,1:32 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,1:33 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,1:34 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,1:35 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,1:36 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,1:37 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,1:38 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,1:39 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,1:40 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,1:41 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,1:42 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,1:43 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,1:44 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,1:45 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,1:46 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,1:47 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,1:48 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,1:49 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,1:50 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,1:51 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,1:52 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,1:53 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,1:54 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,1:55 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,1:56 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,1:57 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,1:58 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,1:59 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,2:00 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,2:01 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,2:02 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,2:03 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,2:04 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,2:05 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,2:06 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,2:07 AM,0,0,0,24.25,24.25,24.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,2:08 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,2:09 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,2:10 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,2:11 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,2:12 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,2:13 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,2:14 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,2:15 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,2:16 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,2:17 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,2:18 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,2:19 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,2:20 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,2:21 AM,0,0,0,24.25,24.25,24.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,2:22 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,2:23 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,2:24 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,2:25 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,2:26 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,2:27 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,2:28 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,2:29 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,2:30 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,2:31 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,2:32 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,2:33 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,2:34 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,2:35 AM,0,0,0,24.25,24.25,24.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,2:36 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,2:37 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,2:38 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,2:39 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,2:40 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,2:41 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,2:42 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,2:43 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,2:44 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,2:45 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,2:46 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,2:47 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,2:48 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,2:49 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,2:50 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,2:51 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,2:52 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,2:53 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,2:54 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,2:55 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,2:56 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,2:57 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,2:58 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.75,2:59 AM,0,0,0,25.75,25.75,25.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,3:00 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,3:01 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,3:02 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,3:03 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,3:04 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,3:05 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,3:06 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,3:07 AM,0,0,0,24.25,24.25,24.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,3:08 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,3:09 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,3:10 AM,0,0,0,24.5,24.5,24.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,3:11 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,3:12 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,3:13 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,3:14 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,3:15 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25,3:16 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,3:17 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,3:18 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,3:19 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,3:20 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.5,3:21 AM,0,0,0,25.5,25.5,25.5,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,3:22 AM,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,3:23 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,3:24 AM,0,0,0,24.25,24.25,24.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,3:25 AM,0,0,0,24.25,24.25,24.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25.25,3:26 AM,0,0,0,25.25,25.25,25.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.5,3:27 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,3:28 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.75,3:29 AM,0,0,0,24.75,24.75,24.75,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
24.25,3:30 AM,0,0,0,24.25,24.25,24.25,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
